image,model,gt_frac,gt_iou,gt_dice,chance_iou,pointing_game,mass_in_gt,collapsed
.10233.1517875222.763875,fp32,0.017,0.0,0.0,0.0086,False,0.007,False
.10233.1517875222.763875,int8-qdq,0.017,0.0,0.0,0.0086,False,0.0154,False
.10248.1517875222.820071,fp32,0.004,0.0,0.0,0.002,False,0.0027,False
.10248.1517875222.820071,int8-qdq,0.004,0.0,0.0,0.002,False,0.0015,False
.10250.1517875222.824213,fp32,0.0266,0.0215,0.042,0.0135,False,0.0678,False
.10250.1517875222.824213,int8-qdq,0.0266,0.0851,0.1568,0.0135,False,0.0812,False
.10252.1517875222.844708,fp32,0.0259,0.0,0.0,0.0131,False,0.0247,False
.10252.1517875222.844708,int8-qdq,0.0259,0.0,0.0,0.0131,False,0.0339,False
.10253.1517875222.852311,fp32,0.0104,0.0,0.0,0.0052,False,0.0127,False
.10253.1517875222.852311,int8-qdq,0.0104,0.0,0.0,0.0052,False,0.0119,False
.10256.1517875222.861705,fp32,0.0027,0.0226,0.0441,0.0014,False,0.0096,False
.10256.1517875222.861705,int8-qdq,0.0027,0.0,0.0,0.0014,False,0.0053,False
.10260.1517875222.880220,fp32,0.0238,0.0,0.0,0.012,False,0.0212,False
.10260.1517875222.880220,int8-qdq,0.0238,0.0,0.0,0.012,False,0.0343,False
.10265.1517875222.899187,fp32,0.0303,0.0281,0.0546,0.0154,False,0.0456,False
.10265.1517875222.899187,int8-qdq,0.0303,0.0,0.0,0.0154,False,0.0354,False
.10267.1517875222.914154,fp32,0.0236,0.0034,0.0068,0.0119,False,0.0359,False
.10267.1517875222.914154,int8-qdq,0.0236,0.0,0.0,0.0119,False,0.0427,False
.10269.1517875222.913699,fp32,0.0082,0.0,0.0,0.0041,False,0.0072,False
.10269.1517875222.913699,int8-qdq,0.0082,0.0,0.0,0.0041,False,0.0111,False
.10272.1517875222.933444,fp32,0.0064,0.0143,0.0282,0.0032,False,0.0229,False
.10272.1517875222.933444,int8-qdq,0.0064,0.0127,0.0251,0.0032,False,0.0309,False
.10273.1517875222.936783,fp32,0.0059,0.0,0.0,0.0029,False,0.0098,False
.10273.1517875222.936783,int8-qdq,0.0059,0.0,0.0,0.0029,False,0.003,False
.10277.1517875222.949665,fp32,0.0087,0.0,0.0,0.0044,False,0.0181,False
.10277.1517875222.949665,int8-qdq,0.0087,0.0,0.0,0.0044,False,0.0033,False
.10279.1517875222.955294,fp32,0.0119,0.0,0.0,0.006,False,0.0202,False
.10279.1517875222.955294,int8-qdq,0.0119,0.0,0.0,0.006,False,0.0186,False
.10287.1517875222.997107,fp32,0.0124,0.0,0.0,0.0063,False,0.0109,False
.10287.1517875222.997107,int8-qdq,0.0124,0.0658,0.1234,0.0063,False,0.0157,False
9.10295.1517875223.23166,fp32,0.0022,0.0,0.0,0.0011,False,0.0015,False
9.10295.1517875223.23166,int8-qdq,0.0022,0.0,0.0,0.0011,False,0.0012,False
9.1030.1517875165.982367,fp32,0.0067,0.0,0.0,0.0033,False,0.0161,False
9.1030.1517875165.982367,int8-qdq,0.0067,0.0091,0.018,0.0033,False,0.0163,False
9.10305.1517875223.79499,fp32,0.0051,0.0,0.0,0.0026,False,0.0109,False
9.10305.1517875223.79499,int8-qdq,0.0051,0.0,0.0,0.0026,False,0.0009,False
.10310.1517875223.101698,fp32,0.0068,0.0,0.0,0.0034,False,0.0038,False
